ID,POSITIVE,NEGATIVE
1,हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.,हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.
2,मी परत जाईन आणि या महान जागेचा आनंद घेईन !,मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !
3,ड्रिंक्स परवडणारी आणि चांगली होती.,ड्रिंक्स महाग होती आणि हवी हवीशी होती.
4,"माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याला ते आवडलं.","माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याचा त्याला तिरस्कार होता."
5,मी त्यांच्या ईमेलसाठी साइन अप केले आणि एक कूपन मिळाले.,मी त्यांच्या ईमेलसाठी साइन अप केले आणि स्पॅम मिळाला.
6,मी त्यांना प्रयत्न करण्याची शिफारस नक्कीच करेन.,मी त्यांना प्रयत्न न करण्याची शिफारस नक्कीच करेन.
7,मी ई अँड एम पेंटिंगची शिफारस करतो.,मी ई अँड एम पेंटिंग टाळण्याची शिफारस करतो.
8,अन्यथा एक चांगला अनुभव आहे आणि आम्ही पुन्हा जाऊ.,अन्यथा एक भयानक अनुभव आहे आणि आम्ही पुन्हा जाणार नाही.
9,"चांगली ड्रिंक्स, आणि चांगली संगत.","पाणीदार ड्रिंक्स, आणि खराब संगती."
10,अरे मी आता माझा बँड गीक परत आणला !,अरे मी आता माझा बँड गीक परत चालू करू शकत नाही !
11,मी नर्व्हस होतो आणि तिने मला खूप आरामदायक आणि स्वागतार्ह वाटले.,मी नर्व्हस झालो होतो आणि तिने मला खूप चिंताग्रस्त आणि भारावून टाकले होते.
12,उत्तम खाद्य शिफारसी स्टीक आणि टूना दोन्ही उत्तम होत्या.,जेवण शिफारशी नाहीत स्टेक आणि टूना बरोबरीचे नव्हते
13,सर्व काही ताजे आणि इतके चविष्ट आहे !,सगळं इतकं शिळे आणि नितळय आहे!
14,बिस्किटे आणि ग्रेव्ही चांगली होती.,बिस्किटे आणि ग्रेव्ही खराब होती.
15,मी खरंतर पुढच्या वर्षी परत येण्याची वाट पाहू शकतो !,मी पुढच्या वर्षी इथे परतणार नाही.
16,"ते खूप उपयुक्त, दयाळू आणि वाजवी किंमतीचे होते.","ते अधिक उपयुक्त, दयाळू आणि वाजवी किंमतीचे असायला हवे होते."
17,देवा मला पेई वेई आवडते.,देवा मला पेई वेई खरंच आवडत नाही.
18,"मैत्रीपूर्ण लोक, स्वादिष्ट अस्सल बॅगल, चवदार क्रीम चीज.","लोक मैत्रीपूर्ण नव्हते, बॅगल चांगले नव्हते आणि क्रीम चीज चवदार नव्हते."
19,मला ते का आवडतं ते तुम्ही तिथे गेल्यावर तुम्हाला दिसेल.,मला ते का आवडत नाही हे तू तिथे गेल्यावर बघशील.
20,मी ज्यांच्याशी बोललो ते खूप मदत करणारे आणि दयाळू होते.,मी ज्यांच्याशी बोललो ते सर्व जण उपयुक्त किंवा दयाळू नव्हते.
21,सुशी रोलच्या वैविध्यामुळे चांगले खाणे मिळते.,सुशी रोलसाठी मर्यादित वैविध्य आहे.
22,आणि प्रत्येक अनुभव सकारात्मक आहे.,आणि प्रत्येक अनुभव भयानक आहे.
23,स्टीव्ह प्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले.,स्टीव्ह अनप्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले नाही.
24,हा गोल्फ क्लब माझ्या मते सर्वोत्कृष्ट पैकी एक आहे.,हा गोल्फ क्लब माझ्या मते सर्वात खराब आहे.
25,उत्तम जाणकार डेंटिस्ट व कर्मचारी !,अपात्र डेंटिस्ट आणि कर्मचारी.
26,पोर्शन खूप उदार आहेत आणि जेवण विलक्षण चवदार आहे.,पोर्शन खूप लहान असतो आणि अन्न चवहीन असते.
27,"नेहमी ताजे, लठ्ठ आणि स्वादिष्ट.","नेहमी शिळे, आजारी आणि चवनसलेले."
28,या दोन्ही महिला प्रोफेशनल आहेत.,या दोन्ही महिला अनप्रोफेशनल आहेत.
29,अर्थात सगळ्यात महत्त्वाची गोष्ट म्हणजे जेवण.,सर्वात महत्वाची गोष्ट म्हणजे जेवणअसायला पाहिजे .
30,आम्ही दोघंही खूप प्रभावित झालो.,आम्ही दोघंही प्रभावित झालो नव्हतो.
31,"खूप चांगला ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो.","खूप खराब ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो नाही."
32,"मेनू अतिशय सोपा, निरोगी आणि चवदार आहे.","मेनू अतिशय मर्यादित, अस्वस्थ आणि चवहीन आहे."
33,ते स्वादिष्ट असल्याने ती स्पॉट ऑन होती.,ती बरोबर नव्हती आणि त्याची चव खराब होती.
34,"मला ही जागा आवडते, सर्विस नेहमीच उत्तम असते !","मला या जागेचा तिरस्कार आहे, सर्विस नेहमीच खराब असते."
35,भेटवस्तू खरेदी साठी योग्य ठिकाण !,भेटवस्तूसाठी खराब दुकान.
36,"खूप छान गोस्टी कमीत कमीत घेणारं आहे, खूप छान आहे ही जागा",जर तुम्हाला खराब गोष्टी फसव्या किमतीत हव्या असतील तर एक चांगला थांबा.
37,वातावरण मजेशीर होते आणि स्टाफ आपल्याला चांगली वागणूक देतात.,वातावरण लेम होते आणि कर्मचारी आपल्याशी घाणीसारखे वागतात.
38,त्यांची फ्रंट लाईन पेटस्मार्टपेक्षा कितीतरी स्वस्त आहे !,त्यांची फ्रंट लाइन पेटस्मार्टपेक्षा कितीतरी महाग आहे!
39,ही अशी जागा आहे जिथे तरीही ग्राहक प्रथम येतो आणि त्याला योग्य वागणूक दिली जाते.,ही अशी जागा आहे जिथे ग्राहक सर्वात शेवटी येतो आणि त्याच्याशी गैरवर्तन केले जाते.
40,मला स्कॉट्सडेल रोडपासून अगदी दूर त्यांचे सोयीस्कर स्थान देखील आवडते.,स्कॉट्सडेल रोडवरून जाण्यासाठी त्यांचे स्थान कसे अयोग्य आहे याचा ही मला तिरस्कार आहे.
41,त्यांचा पिझ्झा हा माझा आजवरचा सर्वोत्कृष्ट पिझ्झा आहे आणि त्यांचा रँचही !,त्यांचा पिझ्झा हा माझा आजवरचा सर्वात खराब पिझ्झा आहे आणि त्यांचा रँचही !
42,मी खूप आनंदी आहे आणि भविष्यातील सर्विससाठी नक्कीच परत जाईन.,मी खूप दु:खी आहे आणि भविष्यातील सर्विससाठी नक्कीच परत जाणार नाही.
43,इतर प्रत्येक थाई ठिकाणाच्या तुलनेत खूप उंच दिसते.,इतर प्रत्येक थाई ठिकाणाच्या तुलनेत खूप कमी दिसते.
44,तिने सर्वात आश्चर्यकारक काम केले.,तिने सर्वात भयानक काम केले.
45,सुंदर रेंजचा खूप आनंद घेतला.,खरोखरच कुरूप रेंज आनंद घेतला नाही.
46,त्यांच्याकडे एक विलक्षण निवड आणि खूप जाणकार स्टाफ आहेत.,निवड तितकी मोठी नव्हती आणि ते काय करत आहेत याची त्यांना कल्पना नव्हती
47,नक्कीच लक्षात ठेवण्यासारखी जागा.,निश्चितच अशी जागा जी मी शिफारस करणार नाही
48,"फिरायला जाण्यासाठी, जेवण घेण्यासाठी आणि थोडी दारू पिण्यासाठी उत्तम जागा !","फिरण्यासाठी, जेवण किंवा काही ड्रिंक्स घेण्यासाठी खराब जागा"
49,लंच आणि डिनरचे पदार्थही खूप चांगले आहेत.,दुपारच्या आणि रात्रीच्या जेवणाच्या पाधार्थ खूप खराब असतात.
50,"चार्ली स्वच्छ, नीटनेटका आणि प्रोफेशनल होता.","चार्ली घाणेरडा, जर्जर आणि अनप्रोफेशनल होता."
51,कॅलझोन अप्रतिम आहेत आणि त्यांच्याकडे असलेले लंच स्पेशल परिपूर्ण आहे.,कॅलझोन भयानक आहेत आणि त्यांच्याकडे असलेले दुपारचे जेवण विशेष दयनीय आहे.
52,मी नक्कीच अनेकदा परत येईन !,मी कधीच परत येणार नाही!
53,ते दररोज स्वादिष्ट सूप खातात.,ते दररोज स्थूल सूप खातात.
54,"चांगली माणसं, तत्पर सर्विस आणि स्पष्टपणे एक्स्पर्ट .","नकारात्मक माणसं, संथ सर्विस आणि स्पष्टपणे नवखे."
55,उत्पादन अतिशय वाजवी किंमतीचे आणि ऑर्गनिक उत्पादनांची उत्तम निवड आहे.,उत्पादन अतिशय अवाजवी किमतीचे आणि ऑर्गनिक उत्पादनाची चुकीची निवड आहे.
56,इथलं जेवण चविष्ट असतं.,इथलं जेवण स्थूल आहे.
57,पहिल्यांदा मी आत आलो तेव्हा मला माहित होतं की मला काहीतरी नवीन हवं आहे.,जेव्हा मी पहिल्यांदा आत आलो तेव्हा मला माहित होते की मला फक्त निघायचे आहे.
58,परफॉर्मिंग आर्ट्स सेंटरइव्हेंटला गेल्यास नक्कीच चांगला पर्याय आहे.,परफॉर्मिंग आर्ट्स सेंटरच्या इव्हेंटला जाताना नक्कीच एक खराब निवड आहे.
59,हे ठिकाण वर्षानुवर्षे उत्तम सुशी आणि शशिमी बनवत आहे.,ही जागा वर्षानुवर्षे भयानक सुशी बनवत आहे.
60,उन्हाळ्यातही त्यांना चांगला आश्रय मिळतो .,उन्हाळ्यातही त्यांना आश्रय नसतो.
61,"त्यांच्या सर्व मैत्रीपूर्ण सल्ल्याने, प्रवासाच्या ज्ञानाने तुम्हाला मदत होईल !","तुम्हाला त्यांचा कुठलाही सल्लागार मदत करणार नाही, किंवा प्रवासाविषयी माहिती नसेल !"
62,मी माझ्या सर्वोत्कृष्ट मित्रांसोबत वेळ घालवला आणि काही उत्तम वाइन आणि जेवणाचा आनंद घेतला.,मला माझ्या सर्वोत्तम मित्रांबरोबर वेळ घालवायचा होता परंतु भयानक वाइन आणि अन्नाने मला त्रास दिला गेला.
63,आम्ही आठ जणांच्या ग्रुपसोबत गेलो आणि सगळ्यांनी मस्त वेळ घालवला.,आम्ही आठ जणांच्या ग्रुपसोबत गेलो आणि एक भयानक वेळ सहन केला.
64,ही सर्विस नेहमीच अप्रतिम राहिली आहे.,ही सर्विस नेहमीच निराशाजनक राहिली आहे.
65,आमची खास रात्र लक्षात ठेवण्यासारखी बनवल्याबद्दल धन्यवाद.,आमची खास रात्र इतकी भयानक बनवल्याबद्दल धन्यवाद.
66,माझ्याकडे एक स्पॅनिश ऑमलेट प्रचंड आणि स्वादिष्ट होत.,"मी एक स्पॅनिश ऑमलेट खाल्लं, ते लहान आणि बेचव होतं ."
67,त्यांच्याकडे मोठ्या मसाज खुर्च्या आहेत आणि प्रत्येक मॅनिक्योर स्टेशन बर्यापैकी स्वच्छ आहे.,त्यांच्याकडे अस्वस्थ मसाज खुर्च्या आहेत आणि प्रत्येक मॅनिक्योर स्टेशन अस्वच्छ आहे.
68,वेट स्टाफ अत्यंत आकर्षक आणि मैत्रीपूर्ण आहे !,वेटिंग स्टाफ ना मैत्रीपूर्ण आहे ना आकर्षक.
69,तसेच जेवणही उत्तम आहे !,"तसेच, जेवण फक्त ठीक आहे!"
70,ती माझ्या गर्लफ्रेंडच्या केसांवर जो रंग वापरते तो छान दिसतो.,ती माझ्या गर्लफ्रेंड केसांवर जो रंग वापरते तो भयानक दिसतो.
71,हे सातत्यपूर्ण आहे आणि स्टाफ नेहमीच मैत्रीपूर्ण असतात.,हे रॅनडम आहे आणि कर्मचारी नेहमीच उद्धट असतात.
72,मजेशीर वातावरण आणि उत्तम जेवणासह मैत्रीपूर्ण आणि स्वागत.,खराब वातावरण आणि खाण्यापिण्यामुळे अमैत्रीपूर्ण आणि अस्वागत.
73,मी खलेली चिकन चिमी एकदम भन्नाट होती !,माझ्याकडे असलेली चिकन चिमी एकदम स्थूल होती!
74,बारमध्ये बसायलाही मजा येते.,बारमध्ये बसणंही कंटाळवाणं असतं
75,सूप साठी मारण्यासारख आहे.,सूपमुळे तुम्हाला मरण्याची इच्छा होईल.
76,फिनिक्स क्षेत्रातील सर्वोत्तम मेक्सिकन फूड.,फिनिक्स भागातील सर्वात खराब मेक्सिकन फूड .
77,"ते प्रोफेशनल , सखोल आणि आपल्या गरजांकडे लक्ष देणारे असतात.","ते अनप्रोफेशनल, घाईगडबडीत आणि आपल्या गरजांकडे दुर्लक्ष करणारे आहेत."
78,त्यांचे लंच स्पेशल म्हणजे चांगलं मूल्य !,त्यांचे लंच स्पेशल म्हणजे खराब मूल्य .
79,या बिझनेसचा आमचा अनुभव सकारात्मक होता.,या बुसईनेसचा आमचा अनुभव नकारात्मक होता.
80,कर्मचारी अप्रतिम आहेत आणि स्थान जुन्या शहराच्या अगदी मध्यभागी आहे !,कर्मचारी निकृष्ट दर्जाचे असून जुन्या शहरापासून जागा गैरसोयीने दूर आहे.
81,या ठिकाणाहून उत्तम अनुभव घेण्यासाठी बाहेर बसावे लागते.,या ठिकाणाहून चांगला अनुभव घेण्यासाठी बाहेर बसावे लागते हे भयंकर आहे.
82,जेवण स्वादिष्ट आणि पुरेसे आहे.,जेवण कडक आणि कोरडे होते.
83,आणि फेटुचिने अल्फ्रेडो एकदम चविष्ट आहे !,आणि फेटुसिन अल्फ्रेडो निराशाजनक आहे.
84,दोन आठवड्यांपूर्वी आम्ही आमचा भाड्याचा ट्रक या ठिकाणी सोडला.,आम्ही दोन आठवड्यांपूर्वी भाड्याचा ट्रक येथे सोडणे टाळले.
85,हे आधीच आश्चर्यकारक असलेल्या जागेला शेवटचा छोटा सा स्पर्श जोडते.,यामुळे आधीच निराशाजनक असलेल्या जागेत अंतिम स्ट्रॉची भर पडते.
86,किंमती थोड्या जास्त आहेत पण मूल्यवान आहेत.,किंमती अत्यंत जास्त आहेत आणि योग्य नाहीत.
87,मसाज थेरपिस्टही अप्रतिम आहे.,मसाज थेरपिस्टही भयानक आहे.
88,माझ्या कुटुंबासह येथे आलो होतो.,माझ्या कुटुंबाशिवाय इथे आलो.
89,"मालकाने उत्तर दिले, मी तुझ्याबरोबर अर्ध्यात जाईन.","मालकाने उत्तर दिले, मी तुझ्याबरोबर अर्ध्यात जाणार नाही."
90,"एस्कार्गॉट स्वादिष्ट होता, आणि एकदम बरोबर मसाला होता.","एस्कार्गॉट स्थूल होता, आणि सुवाद खूप भयंकर होतं ."
91,ब्रिटनीने मला खूप नवीन हेअरकट दिला आणि मला पूर्णपणे बदलून टाकले.,ब्रिटनीने मला खूप जुनाटसारखे केस कापले आणि मला पूर्णपणे बरबाद केले.
92,हे रिसॉर्ट स्कॉट्सडेलमध्ये कायमचे आहे आणि त्याला खऱ्या अर्थाने सर्विस माहित आहे.,हे रिसॉर्ट स्कॉट्सडेलमध्ये कायमचे आहे आणि त्याला खरोखर सर्विस माहित नाही.
93,तसेच मसालेदार प्लम सॉसबरोबर खेकडा वॉन्टन्स राज्य करतात.,तसेच क्रॅब वॉंटन ब्लॅंड प्लम सॉसबरोबर भयानक असतात.
94,एवढ्या मोठ्या किमतीत मला इतके कपडे मिळाले आहेत !,मला खूप कमी कपडे भरमसाठ किमतीत मिळाले आहेत !
95,आजूबाजूला एक-दोन ड्रिंक घेण्यासाठी उत्तम जागा आहे.,आजूबाजूला एक-दोन ड्रिंक घेण्यासाठी खराब जागा.
96,फ्लोरलेस चॉकलेट केक हा माझ्या आजवरच्या सर्वोत्कृष्ट डेजर्ट एक होता.,फ्लोरलेस चॉकलेट केक हा माझ्या आजवरच्या सर्वात खराब डेजर्टपैकी एक होता.
97,सुंदर देखावे आणि मैत्रीपूर्ण स्टाफ .,अप्रतिम देखावे आणि खराब स्टाफ .
98,अधिक टिपिकल 3 x ऐवजी 2 x रिटेलवर छान वाइन लिस्ट.,अधिक सामान्य 2 x ऐवजी 3 x रिटेलवर स्वस्त वाइन सूची.
99,आम्हाला नदीवरील आमचा दिवस आवडला आणि परत जाण्याची वाट पाहू शकत नाही!,"नदीवरचा आमचा दिवस भयानक होता, परत यायचं नाही."
100,जर आपण तरुण असाल आणि खेळात असाल तर आपल्यासाठी ही जागा आहे.,तुमचं वय काहीही असलं तरी तुम्हाला ते आवडणार नाही.
101,मला त्यांचे स्टार डिझाईन कलेक्शन खूप आवडते.,मला त्यांचे स्टार डिझाइन कलेक्शन सहन होत नाही.
102,त्यांचे ताजे ज्यूसही मला आवडतात.,त्यांचे ताजे ज्यूसही मला आवडत नाहीत.
103,फिनिक्स क्षेत्रात वेळ असेल तर नक्कीच अवश्य करा.,आपण फिनिक्स भागात असाल तर नक्कीच टाळा.
104,ओजे आणि जेरेमी यांनी उत्तम काम केले !,ओज आणि जेरेमीने भयंकर काम केले !
105,"टायर, अलाइनमेंट, ब्रेक आणि बरेच काही.","टायर नाही, अलाइनमेंट नाही, ब्रेक नाही, काहीच नाही."
106,खूप छान वाटलं !,खूप खराब ही होतं
107,स्टाफ अतिशय गोंडस आणि मैत्रीपूर्ण.,स्टाफ अतिशय कुरूप आणि मतलबी.
108,फिनिशियनमध्ये दुपारचा चहा आवडतो.,फिनिशियन मधील दुपारचं -चहाचा तिरस्कार करते .
109,त्यांचा एन्चिलाडा सॉस या डिशला पूर्णपणे पूरक होता.,त्यांच्या एन्चिलाडा सॉसने ही डिश खराब केली.
110,सुंदर सजावट आणि उत्तम सर्विस .,भयानक सजावट आणि दयनीय सर्विस.
111,सर्विस आणि कामाच्या क्वालिटी वर खूप आनंद झाला.,सर्विस आणि कामाच्या क्वालिटी वर नाराज झालो
112,उत्तम स्टिकसाठी जाण्यासाठी माझ्या आवडत्या ठिकाणांपैकी एक.,स्टिकसाठी जाण्यासाठी माझ्या सर्वात आवडत्या ठिकाणांपैकी एक.
113,ही जागा अतिशय स्वादिष्ट आहे !,ही जागा अतिशय विचित्र आहे!
114,माफक सजावटीसह ते प्रशस्त आहेत.,ते गौडी सजावटीने भरलेले आहेत.
115,हे माझं शेजारच्या ठिकाणी जाणं आहे.,मी शेजारच्या भागात जाणारी ही शेवटची जागा आहे.
116,सोनोरा येथील लोक माझ्याशी खूप चांगले होते.,सोनोरा येथील लोक माझ्यासाठी तितकेसे चांगले नव्हते.
117,सायंकाळी ७ वाजता बसण्यासाठी अंगण ही एक मजेदार जागा आहे.,आंगण ही संध्याकाळी ७ वाजता बसण्याची मजेशीर जागा नाही.
118,त्याची चांगली किंमत होती.,त्याची किंमत नव्हती.
119,"अरे सुशी की, मी तुझ्यावर किती प्रेम करतो !","अरे सुशी की, मी तुझा किती तिरस्कार करतो!"
120,तिने आमची ड्रिंक्स भरलेली ठेवली आणि आम्हाला जेवणाच्या उत्तम शिफारशी दिल्या.,तिने आमची ड्रिंक्स भरलेली ठेवली नाहीत आणि आम्हाला खराब जेवणाच्या शिफारसी दिल्या.
121,"बर्गर आवडले, मी खलेल जलपेनो रँच बर्गर खरोखर चवदार होता.","बर्गर आवडले नाहीत, मी खलेला जलपेनो रँच बर्गर खरोखर फिकट होता."
122,उत्तम कबाब पदार्थ आणि चांगली सर्विस.,चव नसलेले कबाब पदार्थ आणि दयनीय सर्विस.
123,मला बॅगल ब्रेकफास्ट सँडविच मिळालं आणि ते चविष्ट होतं!,"मला बॅगल ब्रेकफास्ट सँडविच मिळालं, ते तितकं चांगलं नव्हतं."
124,सर्विस आश्चर्यकारक होती आणि स्टाफ खूप मैत्रीपूर्ण होते.,सर्विस तितकीशी चांगली नव्हती आणि स्टाफ अजिबात मैत्रीपूर्ण नव्हते.
125,पूल टेबल आणि स्वस्त ड्रिंक्स ही एक मजेदार रात्र बनवतात !,तुटलेले पूल टेबल आणि महागड्या ड्रिंक्स ही रात्र कंटाळवाणी बनवली!
126,"अंडी नेहमी फ्लफी असतात, फळांची बाजू नेहमीच चांगली असते.","अंडी कधीही फ्लफी नसतात, फळांची बाजू नेहमीच शिळी असते."
127,किंमत परवडणारी आणि वाजवी दोन्ही आहे.,किंमत थोडी जास्त आहे
128,"हे लोक उच्च दर्जाचे, प्रामाणिक आणि अतिशय वाजवी आहेत.","हे लोक फक्त स्वस्त, बेईमान आणि अवाजवी आहेत"
129,त्यांनी मला मी घरी असल्यासारखं आणि त्यांचे विस्तारित कुटुंब असल्यासारखे वागवल !,मला तिथे बाहेरचा माणूस आहे असं वाटत होता
130,"कधी कधी तो साधा कट असतो, तर कधी अधिक गुंतागुंतीचा रंग असतो जो युक्ती करतो.","कधी तो साधा कट असतो, तर कधी अधिक गुंतागुंतीचा रंग असतो जो सर्व काही नष्ट करतो."
131,ग्राहक सेवेसाठी अतिरिक्त स्टार देणे.,खराब ग्राहक सेवेसाठी अतिरिक्त स्टार कमी करणे.
132,गोड आनंदाची मोठी वाटी आहे.,कचऱ्याची मोठी वाटी आहे
133,खाण्यासाठी माझ्या आवडत्या चायनीज ठिकाणांपैकी एक !,खाण्यासाठी माझ्या सर्वात आवडत्या चायनीज ठिकाणांपैकी एक !
134,नदीनंतरही नेहमीच चांगले.,नदीनंतरही नेहमीच खराब.
135,"जेवण चांगलं, एक थाळी खूप पुढे गेली.","अन्न भयानक, एक थाळी एक ही टिकू शकली नाही."
136,सर्विस उत्तम होती आणि आनंदाने परत जाईन.,ही सर्विस भयानक होती आणि ती कधीच परत जाणार नव्हती.
137,मला पोर्क टॅकोस आवडते.,मला पोर्क टॅकोस बिलकुल आवडत नाही.
138,प्रत्येकजण मैत्रीपूर्ण आणि ज्ञानी आहे.,कोणीही मैत्रीपूर्ण नव्हते आणि मदतही करत नव्हते.
139,मी पाठवलेल्या कोणाच्याही आनंदी विचारांशिवाय काहीच नाही !,मी पाठवलेल्या कोणाच्याही असंतुष्ट अभिप्रायाशिवाय काहीच नाही !
140,डॉलीचा खूप आनंद घेतला.,डॉलीचा अजिबात आनंद घेतला नाही
141,जेनिफर महान आहे आणि ती खरोखरच त्वचेची काळजीसाठी वस्तु परवडणारी बनवते.,जेनिफर खराब आहे आणि त्वचेची काळजीसाठी वस्तु खूप महाग करते.
142,हे एक दुर्मिळ रत्न आहे आणि ते सापडल्याबद्दल मी उत्सुक आहे.,हे साधारण आहे आणि मी त्यात खूश नाही.
143,हा खूप चांगला पिझ्झा आहे !,हा एक सुंदर खराब पिझ्झा आहे !
144,आम्ही इथे जे काही मागवले आहे ते छान चवीचे आहे.,आम्ही तिला जे काही मागवले आहे ते भयानक चवीचे आहे.
145,हे खोऱ्यातील सर्वात अस्सल थाई आहे.,हे खोऱ्यातील सर्वात कमी अस्सल थाई आहे.
146,उत्तम स्टाफ आणि अप्रतिम जेवण.,खराब स्टाफ आणि चव नसलेले जेवण
147,"तीळ सॉस आवडतो, चिप्स छान आणि जाड असतात.","तीळ सॉस आवडला नाही, चिप्स खराब आणि चकचकीत आहेत"
148,"इथे जा, तुम्हाला आवडेल.","इथे जाऊ नकोस, तुला आवडणार नाही."
149,चिकनपेक्षा मला रिब्स जास्त आवडल्या.,चिकनपेक्षा मला रिब्स जास्त आवडत नव्हत्या.
150,स्टाफ आणि राइड जबरदस्त होती.,स्टाफ आणि प्रवास भयानक होता.
151,"तसेच, मागच्या वेळी आम्ही आमच्या कुत्र्यांना शॉट्ससाठी आणले होते तेव्हा आम्हाला सुखद आश्चर्य वाटले होते.","तसेच, जेव्हा आम्ही आमच्या कुत्र्यांना शॉट्ससाठी आणले तेव्हा आम्हाला आमच्या बुद्धिमत्तेचा धक्का बसला."
152,मी ड्रंकेन ड्रॅगन नूडल्सची शिफारस करतो आपल्यासारख्या तिखट प्रेमींसाठी !,जर आपल्याला मसाला आवडत असेल तर मी ड्रंकेन ड्रॅगन नूडल्सची शिफारस करणार नाही
153,स्थानिक साखळीसाठी ही जागा उत्तम !,स्थानिक साखळीसाठी ही जागा खराब आहे !
154,ही जागा मला घराची आठवण करून देते !,ही जागा मला आठवण करून देते की मला घरी का जायचे आहे
155,स्कॉट्सडेलमधील माझ्या नियमित ठिकाणांपैकी एक.,स्कॉट्सडेलमधील माझ्या नियमित ठिकाणांपैकी एक नाही.
156,मी पुन्हा इथे नक्की जाईन !,मी इथे परत येणार नाही.
157,"दुपारच्या जेवणासाठी थांबलो, छान वाईन लिस्ट, चांगली सर्व्हिस.","मी दुपारच्या जेवणासाठी थांबलो, वाईन लिस्ट चांगली नव्हती आणि सर्विसही नव्हती."
158,कॉमिक - फॅमिली सर्कसमध्ये ही जागा आहे हे मला आवडते.,कॉमिक - फॅमिली सर्कसमध्ये ही जागा आहे याचा मला तिरस्कार आहे
159,हा एक आंतरराष्ट्रीय आनंद आहे.,हा काही आंतरराष्ट्रीय आनंद नाही.
160,ते अगदी गोंडस आणि विचित्र होते!,ते तितके गोंडस किंवा विचित्र नव्हते.
161,मला बाहेरची बसणे आवडते आणि उलट आनंदाचा तास आश्चर्यकारकपणे परवडणारा आहे.,मला बाहेरची बसणे आवडत नाही आणि उलट आनंदाचा तास आश्चर्यकारकपणे महाग आहे.
162,शुगर बोलचा वातावरण मजेशीर आहे.,शुगर बोलचा वातावरण नकारात्मक असते.
163,असं म्हटल्यावर मी जेवणाचा आस्वाद घेतला.,असं म्हटल्यावर मला जेवणाचा आस्वाद आला नाही.
164,"मस्त जेवण, मस्त सजावट !","भयानक जेवण , भयानक सजावट!"
165,जेवण नेहमी ताजे असते.,जेवण नेहमी शिळे असते.
166,"आपण आत येऊ शकता, कितीही पैसे खर्च करू शकता आणि आश्चर्यकारक गोष्टीचा आनंद घेऊ शकता.","इकडे जाऊ नकोस, एवढा खर्च करशील आणि खराब अनुभव घ्याल."
